MM,Mon,Date,Engine Type,Ship,Pos,Type of Removal,RMV ESN,INST ESN,Stat,Reason,CSR,TSR,P/F,Override,Root Cause,,
10,October,10/25/2017,CFM56-5A,3237,2,UER,731744,731243,MSP,Oil Consumption,3392,7211,,,,,
10,October,10/27/2017,CF6-80C2B8F,1808,2,UER,706247,706182,ATL,High Time,452,3531,,,,,
10,October,10/28/2017,CFM56-5A,3102,2,LLP,733219,733168,MSP,LLP,7519,13627,,,,,
10,October,10/28/2017,CFM56-5A,3129,2,LLP,731782,733316,SLC,LLP,5928,11234,,,,,
10,October,10/28/2017,JT8D-219,9009,1,LLP,728263,728009,DTW,LLP,6000,8171,,,,,
10,October,10/29/2017,CFM56-7B,3720,1,UER,874691,896825,ATL,External Engine,5134,14561,,,,,
10,October,10/29/2017,PW2000,6805,2,UER,728787,727171,LAX,Failed BSI,4452,22527,,,,,
10,October,10/29/2017,BR715,9529,1,Stagger,13262,13238,ATL,Stagger,235,331,,,,,
10,October,10/30/2017,BR715,9583,1,UER,13338,13432,ATL,Performance,4892,6392,,,,,
10,October,10/31/2017,PW4168,3313,2,UER,733544,733620,YYR,In Flight Shutdown,1057,8379,,,,,
11,November,11/1/2017,CFM56-5A,3210,1,Stagger,733260,733265,MSP,Stagger,1987,3898,,,,,
11,November,11/2/2017,V2500,9242,1,UER,V20133,V20191,ATL,Metal in Tailpipe,8708,14839,,,,,
11,November,11/2/2017,PW4060,190,2,UER,724156,724416,LAX,Failed BSI,772,5091,,,,,
11,November,11/2/2017,JT8D-219,938,2,UER,726824,708578,BDL,FOD,1629,2108,,,,,
11,November,11/3/2017,PW4060,176,2,UER,727738,724151,ATL,Failed BSI,2809,21785,,,,,
11,November,11/4/2017,PW2000,6709,1,UER,716517,716548,ATL,Failed BSI,4406,12289,,,,,
11,November,11/4/2017,JT8D-219,987,1,UER,718083,725582,ATG,FOD,605,793,,,,,
11,November,11/4/2017,PW4060,194,2,LLP,724656,724686,LAX,LLP,3796,26016,,,,,
11,November,11/4/2017,CFM56-5A,3275,2,LLP,733159,733368,DTW,LLP,7321,15330,,,,,
11,November,11/5/2017,CFM56-5A,3135,2,UER,733301,733169,SLC,Performance,5898,12382,,,,,
11,November,11/6/2017,BR715,9545,1,UER,13329,13262,ATL,Turbine Blades,5793,7539,,,,,
11,November,11/6/2017,JT8D-219,927,1,LLP,718103,718514,CVG,LLP,3987,5266,,,,,
11,November,11/6/2017,JT8D-219,9017,1,Harvest,725512,,BYH,Harvest,3902,5264,,,,,
11,November,11/6/2017,JT8D-219,9017,2,Harvest,726078,,BYH,Harvest,448,522,,,,,
11,November,11/8/2017,PW4056,6306,1,UER,724612,717662,DTW,Lease Return,1027,9369,,,,,
11,November,11/9/2017,PW4168,3305,2,UER,733523,733497,ATL,FMP,1249,9816,,,,,
11,November,11/9/2017,CFM56-5A,3210,1,Harvest,731730,,SBD,Harvest,2552,5128,,,,,
11,November,11/10/2017,PW2000,635,1,Harvest,716320,,BYH,Harvest,300,425,,,,,
11,November,11/10/2017,PW2000,5651,2,UER,716521,726637,ATL,Failed BSI,2386,6557,,,,,
11,November,11/10/2017,JT8D-219,920,1,Harvest,718273,,BYH,Harvest,903,1137,,,,,
11,November,11/10/2017,JT8D-219,920,2,Harvest,725689,,BYH,Harvest,3337,4498,,,,,
11,November,11/10/2017,PW2000,635,2,Harvest,728851,,BYH,Harvest,2161,4248,,,,,
11,November,11/11/2017,BR715,9550,2,UER,13325,13342,ATL,Turbine Blades,6318,8021,,,,,
11,November,11/12/2017,CF6-80C2B6F,1601,2,UER,704696,704749,ATL,CRF Rework,835,6532,,,,,
11,November,11/12/2017,BR715,9594,1,UER,13255,13338,ATL,Compressor Stall,7589,9545,,,,,
11,November,11/12/2017,CFM56-5A,3263,2,LLP,731723,733393,MSP,LLP,7939,16564,,,,,
11,November,11/12/2017,CFM56-5A,3130,2,LLP,733254,731769,SLC,LLP,9267,16951,,,,,
11,November,11/13/2017,PW4056,6306,1,UER,717662,717518,DTW,Oil Leak,3309,27854,,,,,
11,November,11/13/2017,JT8D-219,9011,2,UER,717803,726007,ATL,Failed BSI,1122,1411,,,,,
11,November,11/13/2017,PW4060,175,2,LLP,727725,724171,ATL,LLP,2337,18687,,,,,
11,November,11/14/2017,CF6-80C2B8F,1804,1,UER,706287,706431,ATL,Failed BSI,2236,17705,,,,,
11,November,11/14/2017,CF6-80C2B8F,1808,1,UER,706412,706433,JFK,Oil Leak,1727,13603,,,,,
11,November,11/14/2017,PW4056,6302,1,Harvest,717506,,MZJ,Harvest,1641,14928,,,,,
11,November,11/14/2017,CFM56-5A,3210,1,Harvest,733265,,SBD,Harvest,1,3,,,,,
11,November,11/15/2017,PW4056,6302,4,Harvest,717562,,MZJ,Harvest,2340,20723,,,,,
11,November,11/15/2017,JT8D-219,936,2,UER,718248,728078,RIC,Metal in oil,3282,4318,,,,,
11,November,11/15/2017,JT8D-219,940,1,Harvest,726822,,BYH,Harvest,947,1173,,,,,
11,November,11/15/2017,JT8D-219,940,2,Harvest,728008,,BYH,Harvest,2641,3396,,,,,
11,November,11/15/2017,JT8D-219,984,2,Stagger,728248,718069,DTW,Stagger,381,460,,,,,
11,November,11/16/2017,PW4056,6302,2,Harvest,724421,,MZJ,Harvest,1463,13382,,,,,
11,November,11/17/2017,CFM56-5A,3159,1,LLP,731714,731567,MSP,LLP,1609,3434,,,,,
11,November,11/18/2017,PW4060,195,2,LLP,727723,724143,LAX,LLP,3461,23583,,,,,
11,November,11/19/2017,CFM56-5A,3260,2,LLP,733166,731580,DTW,LLP,5347,11340,,,,,
11,November,11/21/2017,CF6-80C2B6F,1602,1,LLP,704848,708848,CAN,For other maintenance,1803,14511,,,,,
11,November,11/21/2017,CF6-80C2B6F,1602,2,LLP,706112,706112,CAN,For other maintenance,621,4916,,,,,
11,November,11/22/2017,PW2000,6700,2,UER,728761,716329,ATL,Failed BSI,3329,9744,,,,,
11,November,11/23/2017,V2500,9225,1,UER,V20103,V20006,MSP,Failed BSI,2110,3611,,,,,
11,November,11/24/2017,BR715,9551,2,UER,13380,13353,ATL,Turbine Blades,519,736,,,,,
11,November,11/25/2017,JT8D-219,936,1,UER,716741,726822,ATL,Vibration,4035,5329,,,,,
11,November,11/25/2017,V2500,9254,1,Scheduled,V20047,V20189,MSP,LLP,5962,9912,,,,,
11,November,11/27/2017,PW4056,6310,1,UER,724478,717506,DTW,Lease Return,13148,75342,,,,,
11,November,11/28/2017,BR715,9536,2,UER,13337,13191,JFK,Compressor Stall,4999,6763,,,,,
11,November,11/28/2017,PW2000,6713,1,LLP,716581,716491,ATL,LLP,2250,4798,,,,,
11,November,11/28/2017,PW4056,6307,4,UER,724109,,MZJ,Lease Return,1101,10184,,,,,
11,November,11/28/2017,CFM56-5A,3146,2,UER,733157,,DTW,External Engine,2017,4028,,,,,
11,November,11/28/2017,PW4168,3359,1,UER,733543,,DTW,Internal Damage,2324,21485,,,,,
11,November,11/29/2017,PW2000,6707,1,LLP,716560,716396,ATL,LLP,5327,11242,,,,,
12,December,12/1/2017,CF6-80C2B6F,1706,1,UER,704314,704234,ATL,CRF Rework,748,5968,,,,,
12,December,12/1/2017,PW2000,680,1,UER,728849,716521,ATL,High oil temp,1334,3900,,,,,
12,December,12/2/2017,PW2000,679,2,LLP,716328,716595,ATL,LLP,5214,12146,,,,,
12,December,12/2/2017,V2500,9250,2,Scheduled,20036,20107,MSP,LLP,5957,9799,,,,,
12,December,12/2/2017,PW4060,188,1,UER,724715,727718,HNL,Oil Leak,2240,15037,,,,,
12,December,12/3/2017,BR715,9566,2,UER,13159,13125,ATL,Stagger,2086,2972,,,,,
12,December,12/3/2017,V2500,9263,2,UER,20114,20273,MSP,external Engine,7942,13499,,,,,
12,December,12/3/2017,JT8D-219,952,1,UER,725620,718273,CVG,Oil Filter Clog,2579,3313,,,,,
12,December,12/3/2017,CFM56-5A,3220,2,LLP,731626,733139,DTW,LLP,6121,12750,,,,,
12,December,12/4/2017,CFM56-5A,3133,2,LLP,733354,731744,MSP,LLP,2736,5368,,,,,
12,December,12/4/2017,CF6-80C2B6,1503,1,UER,695373,690359,ATL,CRF Inspection,501,3234,,,,,
12,December,12/4/2017,CFM56-7B,3762,2,UER,896999,874691,ATL,Lease Return,2005,5965,,,,,
12,December,12/5/2017,CF6-80C2B8F,1816,2,UER,706174,706192,ATL,Oil Leak,323,2483,,,,,
12,December,12/5/2017,JT8D-219,945,1,UER,718175,726047,MEM,Turbine Blades,2533,3204,,,,,
12,December,12/5/2017,CFM56-7B,3748,2,UER,896771,38634,ATL,Lease Return,1958,5660,,,,,
12,December,12/6/2017,CF6-80C2B6F,1704,2,UER,706106,706137,ATL,CRF Rework,2299,18319,,,,,
12,December,12/6/2017,PW2000,633,2,Harvest,716486,,BYH,Harvest,699,1109,,,,,
12,December,12/6/2017,PW2000,633,1,Harvest,717972,,BYH,Harvest,1121,1976,,,,,
12,December,12/6/2017,JT8D-219,930,1,Stagger,718565,,BYH,Stagger,1004,1239,,,,,
12,December,12/6/2017,JT8D-219,930,2,Stagger,725548,,BYH,Stagger,2053,2730,,,,,
12,December,12/7/2017,BR715,9509,1,UER,13119,13412,ATL,Compressor Stall,3864,5300,,,,,
12,December,12/7/2017,BR715,9551,1,UER,13203,13163,ATL,External Engine,2682,3627,,,,,
12,December,12/7/2017,PW2000,6704,1,Stagger,726728,716320,MSP,Stagger,2138,6231,,,,,
12,December,12/7/2017,JT8D-219,961,2,Stagger,728246,725553,CVG,Stagger,330,386,,,,,
12,December,12/8/2017,JT8D-219,923,1,UER,726915,725512,ATL,Oil Leak,871,1066,,,,,
12,December,12/9/2017,BR715,9573,2,UER,13228,13159,CAE,Compressor Stall,6523,8634,,,,,
12,December,12/9/2017,CFM56-5A,3267,2,UER,731497,733166,MSP,Failed BSI,801,1757,,,,,
12,December,12/10/2017,JT8D-219,977,2,UER,718117,725689,DTW,Oil Leak,2910,3809,,,,,
12,December,12/10/2017,PW4060,192,2,LLP,727524,727936,LAX,LLP,2108,14035,,,,,
12,December,12/10/2017,CFM56-5A,3260,2,UER,731580,733311,DTW,Bird Strike,56,118,,,,,
12,December,12/11/2017,V2500,9229,2,UER,20072,20054,MSP,Wire Harness,2860,4804,,,,,
12,December,12/11/2017,CFM56-5A,3247,2,LLP,733247,733272,ATL,LLP,6261,13156,,,,,
12,December,12/12/2017,CF6-80C2B6,1501,1,Harvest,690363,,SBD,Harvest,769,5030,,,,,
12,December,12/12/2017,CF6-80C2B6,1501,2,Harvest,695476,,SBD,Harvest,1627,10903,,,,,
12,December,12/14/2017,CF6-80C2B6F,1702,2,UER,704746,704889,ATL,CRF Rework,2154,17601,,,,,
12,December,12/14/2017,CF6-80C2B6F,1708,2,UER,704805,704696,ZRH,Metal in Tailpipe,115,886,,,,,
12,December,12/14/2017,PW2000,692,2,UER,716484,726527,ATL,VSV Failure/Rig,530,1609,,,,,
12,December,12/14/2017,Trent 890,7007,1,LLP,51264,51150,MSP,LLP,1337,13259,,,,,
12,December,12/15/2017,PW2000,5811,2,UER,728731,728769,ATL,Failed BSI,3334,9927,,,,,
12,December,12/15/2017,CFM56-5A,3214,2,Stagger,731431,733265,SLC,Stagger,406,734,,,,,
12,December,12/18/2017,BR715,9543,1,LLP,13192,13203,ATL,LLP,7829,9749,,,,,
12,December,12/18/2017,JT8D-219,955,2,UER,725908,725921,ATL,Metal on Chip Detector,2184,2944,,,,,
12,December,12/19/2017,BR715,9551,2,Stagger,13353,,ATG,Stagger,95,124,,,,,
12,December,12/19/2017,CFM56-5A,3213,2,Harvest,733112,,SBD,Harvest,5622,11305,,,,,
12,December,12/20/2018,BR715,9531,2,UER,13128,13229,MSP,Smoke in Cabin,1262,1775,,,,,
12,December,12/20/2018,BR715,9551,1,Stagger,13163,,ATL,Stagger,100,141,,,,,
12,December,12/20/2018,BR715,9537,1,LLP,13304,13325,ATL,LLP,7110,8920,,,,,
12,December,12/21/2018,BR715,9548,2,UER,13283,13163,ATL,External Engine,3395,4717,,,,,
12,December,12/22/2018,BR715,9552,2,UER,13209,13353,SLC,Failed BSI,7852,9981,,,,,
12,December,12/22/2018,CFM56-5A,3213,1,Harvest,733141,,SBD,Harvest,7913,15946,,,,,
12,December,12/22/2018,CFM56-5A,3214,1,Harvest,733173,,SBD,Harvest,443,790,,,,,
12,December,12/22/2018,CFM56-5A,3214,2,Harvest,733265,,SBD,Harvest,2,1,,,,,
12,December,12/23/2018,JT8D-219,907,2,UER,709936,718223,CVG,Overtemp,1769,2423,,,,,
12,December,12/23/2018,JT8D-219,907,1,UER,725993,717329,CVG,Overtemp,1970,2566,,,,,
12,December,12/24/2018,JT8D-219,931,2,UER,726067,725548,MCO,In Flight Shutdown,2508,3285,,,,,
12,December,12/26/2018,V2500,9249,2,UER,V20140,V20196,MSP,Performance,6023,9911,,,,,
12,December,12/28/2018,PW4060,176,1,UER,724125,724716,ATL,Failed BSI,1438,11202,,,,,
12,December,12/28/2018,CF6-80C2B6,1505,1,LLP,695443,695442,LAX,LLP,403,2655,,,,,
12,December,12/29/2018,JT8D-219,908,2,LLP,725736,725513,CVG,LLP,4037,5496,,,,,
12,December,12/29/2018,JT8D-219,932,1,UER,725813,726048,ATL,Failed BSI,2873,3724,,,,,
12,December,12/30/2018,CFM56-5A,3212,2,LLP,731625,731431,ATL,LLP,7563,15261,,,,,
12,December,12/30/2018,CFM56-7B,3729,1,UER,876117,876736,LAX,Gearbox,812,2280,,,,,
12,December,12/31/2018,BR715,9587,2,UER,13323,13283,ATL,Failed BSI,1930,2602,,,,,
1,January,1/1/2018,CF6-80C2B6F,1604,2,Convenience,702335,702335,CAN,For other Maintenance,,,,,,,
1,January,1/1/2018,CF6-80C2B6F,1604,1,Convenience,704883,704883,CAN,For other Maintenance,,,,,,,
1,January,1/2/2018,JT8D-219,950,2,UER,709945,726924,DTW,FOD,2613,3378,,,,,
1,January,1/4/2018,V2500,9232,1,Harvest,V20005,,BYH,Harvest,5637,9533,,,,,
1,January,1/5/2018,PW4168,3304,1,UER,735015,735014,ATL,Metal on Chip Detector,3111,24628,,,,,
1,January,1/6/2018,PW4060,187,1,UER,727893,,LAX,Performance,4998,35276,,,,,
1,January,1/7/2018,JT8D-219,998,1,UER,726088,718565,ATL,High EGT,4967,7139,,,,,
1,January,1/7/2018,JT8D-219,935,2,LLP,726944,725964,DTW,LLP,4407,5899,,,,,
1,January,1/8/2018,CF6-80C2B8F,1812,2,UER,706151,706412,ATL,High Time,2629,20431,,,,,
1,January,1/8/2018,JT8D-219,980,2,UER,718151,717306,ATL,Turbine Blades,2677,3482,,,,,
1,January,1/9/2018,BR715,9506,2,Stagger,13123,13234,ATL,Stagger T1 Blades,3707,4981,,,,,
1,January,1/9/2018,JT8D-219,971,2,LLP,725507,726002,CVG,LLP,4354,6044,,,,,
1,January,1/9/2018,PW4168,3360,1,UER,733591,733542,DTW,FMP,2591,23778,,,,,
1,January,1/10/2018,CFM56-5A,3262,2,UER,733389,733247,MSP,Metal in Tailpipe,2631,5574,,,,,
1,January,1/10/2018,CFM56-5B,3015,2,UER,573866,573985,MEM,Turbine Blades,1722,2551,,,,,
1,January,1/11/2018,PW4060,189,1,UER,724148,727831,ATL,Failed BSI,1856,12318,,,,,
1,January,1/12/2018,V2500,9256,1,Harvest,V20010,,BYH,Harvest,3370,5913,,,,,
1,January,1/12/2018,V2500,9256,2,Harvest,V20163,,BYH,Harvest,7315,12307,,,,,
1,January,1/13/2018,JT8D-219,9010,1,UER,726081,709973,DTW,FOD,1114,1406,,,,,
1,January,1/14/2018,PW4060,180,1,LLP,727707,724740,LAX,LLP,2600,17664,,,,,
1,January,1/14/2018,CFM56-5A,3220,2,Stagger,733139,733112,MSP,Stagger,156,315,,,,,
1,January,1/15/2018,CF6-80C2B6F,1606,2,UER,706355,704314,ATL,CRF Rework,3115,24840,,,,,
1,January,1/16/2018,JT8D-219,906,1,UER,718125,718130,ATL,Metal in oil,661,832,,,,,
1,January,1/16/2018,JT8D-219,929,2,Harvest,718531,,BYH,Harvest,1194,1500,,,,,
1,January,1/16/2018,JT8D-219,929,1,Harvest,726933,,BYH,Harvest,892,1111,,,,,
1,January,1/17/2018,JT8D-219,995,2,UER,725802,728239,ATL,Failed BSI,2851,3919,,,,,
1,January,1/18/2018,CF6-80C2B6F,1602,2,UER,706112,704888,ATL,CRF Rework,705,5513,,,,,
1,January,1/19/2018,V2500,9259,1,Harvest,V20113,,BYH,Harvest,8657,14674,,,,,
1,January,1/19/2018,V2500,9259,2,Harvest,V20266,,BYH,Harvest,817,1446,,,,,
1,January,1/21/2018,PW4060,1402,1,LLP,724372,724150,ATL,LLP,1732,6640,,,,,
1,January,1/21/2018,PW4060,1402,2,Stagger,727717,727893,ATL,Stagger,2764,14049,,,,,
1,January,1/21/2018,CFM56-5A,3277,2,LLP,733275,733223,MSP,LLP,6058,12177,,,,,
1,January,1/22/2018,CF6-80C2B6F,1703,2,UER,706111,,JFK,Metal in oil,618,4737,,,,,
1,January,1/23/2018,JT8D-219,966,2,UER,716783,728248,ATL,Failed BSI,4558,6148,,,,,
1,January,1/23/2018,JT8D-219,987,1,Stagger,725582,718039,CVG,Stagger,2994,4061,,,,,
1,January,1/26/2018,CFM56-5A,3226,1,Stagger,731568,733265,ATL,Stagger,1307,2733,,,,,
1,January,1/27/2018,CFM56-7B,3737,1,UER,896390,890532,ATL,Lease Return,11961,32398,#N/A,,,,
1,January,1/29/2018,CFM56-7B,3807,2,UER,658393,38677,ATL,External Engine,5481,15102,#N/A,,,,
1,January,1/30/2018,PW2000,665,2,UER,728866,726722,MSP,Failed BSI,1446,3738,,,,,
1,January,1/31/2018,BR715,9525,2,LLP,13172,13128,ATL,LLP,7407,9609,,,,,
2,February,2/1/2018,PW2000,6807,2,UER,727178,727230,ATL,Metal on Chip Detector,242,1171,LOW TIME,,,,
2,February,2/1/2018,PW2000,5807,1,UER,727276,727217,ATL,Failed BSI,4191,12964,,Y,Override due to proactive removal for T1 BLDs,,
2,February,2/2/2018,CF6-80C2B8F,1804,2,UER,706165,706247,ATL,Failed BSI,1174,9076,,,,,
2,February,2/3/2018,BR715,9548,1,UER,13116,13251,ATL,Turbine Blades,2895,4026,,,,,
2,February,2/3/2018,CFM56-5A,3244,1,LLP,733149,733139,MSP,LLP,3611,7492,,,,,
2,February,2/3/2018,PW4168,3307,1,UER,733642,733571,BOS,Metal in Tailpipe,3386,26504,,,,,
2,February,2/4/2018,CF6-80C2B6F,1611,2,UER,704751,706106,ATL,Oil Consumption,1033,8786,,,,,
2,February,2/4/2018,CFM56-5A,3133,2,UER,731744,733256,SLC,HPTB,226,552,LOW TIME,,,,
2,February,2/4/2018,CFM56-5A,3248,1,Stagger,733335,733257,MSP,Stagger,3608,7527,,,,,
2,February,2/4/2018,CFM56-7B,3728,2,Convenience,894755,892702,ATL,Lease Return,9134,26112,,,,,
2,February,2/5/2018,JT8D-219,998,1,Stagger,718565,726933,CVG,Stagger,273,1134,,,,,
2,February,2/6/2018,JT8D-219,998,2,Stagger,717819,725818,CVG,Stagger,1400,1904,,,,,
2,February,2/9/2018,CFM56-7B,3744,1,UER,888554,658393,ATL,External Engine,1683,4894,#N/A,,,,
2,February,2/11/2018,PW4060,176,1,UER,724716,727717,DTW,Oil Leak,66,534,LOW TIME,,,,
2,February,2/11/2018,CFM56-5A,3168,1,UER,733150,,SLC,Performance,2273,4771,,,,,
2,February,2/11/2018,CFM56-5A,3245,1,Harvest,733325,733292,DTW,Harvest,5064,10751,,,,,
2,February,2/13/2018,JT8D-219,958,2,UER,708176,728008,CVG,FOD,1774,2213,,,,,
2,February,2/13/2018,V2500,9204,2,Scheduled,V20068,V20118,MSP,LLP,8901,15082,,,,,
2,February,2/13/2018,JT8D-219,954,1,LLP,725639,,DTW,LLP,5514,7440,,,,,
2,February,2/13/2018,CFM56-5A,3151,2,UER,731459,733335,MSP,HPTB,5850,12460,,,,,
2,February,2/14/2018,CFM56-5A,3249,2,Stagger,733143,731983,MSP,Stagger,3957,8349,,,,,
2,February,2/15/2018,JT8D-219,989,2,LLP,726923,718131,DTW,LLP,4249,5892,,,,,
2,February,2/16/2018,V2500,9233,2,UER,V20052,V20238,MSP,Failed BSI,7766,12681,,,,,
2,February,2/17/2018,CF6-80C2B8F,1817,1,UER,706203,706174,ATL,CRF Inspection,1316,10327,,,,,
2,February,2/18/2018,BR715,9517,2,UER,13299,13380,ATL,Turbine Blades,6366,8385,,,,,
2,February,2/18/2018,PW2000,659,2,LLP,716501,716486,ATL,LLP,4444,10066,,,,,
2,February,2/19/2018,CF6-80C2B6F,1603,2,Convenience,704233,704233,CAN,For other Maintenance,1805,14650,,,,,
2,February,2/19/2018,CF6-80C2B6F,1603,1,Convenience,704736,704736,CAN,For other Maintenance,2260,18089,,,,,
2,February,2/19/2018,PW2000,692,1,UER,716375,727297,MSP,FOD,2356,6743,,,,,
2,February,2/21/2018,BR715,9583,2,UER,13302,13192,ATL,Turbine Blades,6173,8031,,,,,
2,February,2/21/2018,PW2000,688,1,LLP,716451,726728,MSP,LLP,3194,8821,,,,,
2,February,2/21/2018,JT8D-219,984,1,UER,718552,717328,ATL,Vibration,2445,3285,,,,,
2,February,2/21/2018,JT8D-219,9000,2,UER,726931,725869,CVG,Metal in oil,4742,6276,,,,,
2,February,2/21/2018,CFM56-5A,3256,1,Stagger,733343,733291,ATL,Stagger,6384,13569,,,,,
2,February,2/22/2018,CF6-80C2B6F,1605,2,Convenience,702122,702122,CAN,For other Maintenance,593,4631,,,,,
2,February,2/22/2018,CF6-80C2B6F,1605,1,Convenience,703195,703195,CAN,For other Maintenance,667,365,,,,,
2,February,2/22/2018,PW2000,681,1,UER,716470,716581,ATL,Failed BSI,3443,8329,,,,,
2,February,2/22/2018,PW4168,3358,1,UER,733582,733614,LOS,ODI,2181,20484,,,,,
2,February,2/23/2018,JT8D-219,986,1,UER,725819,725582,ATL,FOD,1464,1957,,,,,
2,February,2/23/2018,JT8D-219,956,2,UER,726835,725908,ATL,External Engine,3418,4508,,,,,
2,February,2/25/2018,JT8D-219,939,2,UER,708522,718083,ATL,Oil Consumption,4696,6181,,,,,
2,February,2/25/2018,BR715,9587,2,UER,13283,13404,ATL,External Engine,3618,5022,,,,,
2,February,2/26/2018,CF6-80C2B6F,1708,1,UER,704884,704823,ATL,CRF Rework,737,5695,,,,,
2,February,2/26/2018,JT8D-219,9005,2,UER,718124,718531,ATL,Compressor Stall,3828,4952,,,,,
2,February,2/26/2018,JT8D-219,938,1,UER,725911,725979,ATL,Metal on Chip Detector,4697,6338,,,,,
2,February,2/26/2018,CFM56-5A,3238,1,UER,731573,733173,MSP,Oil Leak,763,1627,,,,,
2,February,2/27/2018,BR715,9503,2,UER,13117,13304,ATL,FOD,4554,6204,,,,,
2,February,2/27/2018,PW2000,670,2,UER,716355,717972,ATL,Failed BSI,5755,11712,,,,,
2,February,2/27/2018,JT8D-219,964,1,UER,718235,718212,BOS,Bird Strike,1304,1604,,,,,
2,February,2/28/2018,BR715,9565,1,Stagger,13296,13211,ATL,Stagger T1 Blades,7477,9565,,,,,
2,February,2/28/2018,JT8D-219,949,1,LLP,725416,725631,DTW,LLP,5628,7494,,,,,
2,February,2/28/2018,PW2000,5635,1,UER,728828,728760,MSP,Failed BSI,3493,12877,,,,,
3,March,3/1/2018,JT8D-219,914,1,LLP,709958,709829,DTW,LLP,2522,3301,,,,,
3,March,3/1/2018,PW4168,3351,1,Stagger,733581,733634,MSP,Stagger,2012,19096,,,,,
3,March,3/2/2018,PW2000,5814,1,UER,728823,728753,ATL,Failed BSI,3381,10162,,,,,
3,March,3/4/2018,BR715,9588,1,LLP,13240,13296,ATL,LLP,5368,7043,,,,,
3,March,3/4/2018,CFM56-5A,3134,1,UER,731994,733143,MSP,Performance,8006,17080,,,,,
3,March,3/4/2018,CFM56-5A,3124,1,UER,733180,733216,SLC,Performance,5251,9901,,,,,
3,March,3/5/2018,JT8D-219,9019,2,UER,709881,718126,DTW,FOD,2118,2665,,,,,
3,March,3/5/2018,PW4168,3307,1,UER,733571,733581,MSP,Metal on Chip Detector,23,163,LOW TIME,,,,
3,March,3/6/2018,JT8D-219,941,2,LLP,726015,717382,DTW,LLP,3795,9327,,,,,
3,March,3/7/2018,CF6-80C2B6F,1610,2,UER,704809,704824,SEA,CRF Rework,876,7524,,,,,
3,March,3/7/2018,BR715,9506,2,Convenience,13234,,ATL,Lease Return,6216,7234,,,,,
3,March,3/7/2018,JT8D-219,986,1,UER,725582,725945,MSP,Oil Leak,3055,4141,,,,,
3,March,3/7/2018,PW2000,6812,2,UER,728712,728814,JFK,Oil Leak,1168,5754,,,,,
3,March,3/7/2018,CFM56-5B,3002,1,UER,573377,573445,DTW,Bird Strike,3338,4755,,,,,
3,March,3/8/2018,BR715,9575,1,LLP,13162,13284,ATL,LLP,6937,9047,,,,,
3,March,3/8/2018,PW4056,6308,3,Stagger,717669,,MZJ,Stagger,711,6608,,,,,
3,March,3/8/2018,PW2000,6710,2,LLP,727216,716398,ATL,LLP,2246,6932,,,,,
3,March,3/9/2018,BR715,9583,1,UER,13432,13117,ATL,FOD,584,847,LOW TIME,,,,
3,March,3/10/2018,PW2000,6818,2,LLP,728844,728849,ATL,LLP,2263,11333,,,,,
3,March,3/11/2018,PW2000,6821,1,UER,727288,728768,MSP,Performance downrate,1667,5486,,,,,
3,March,3/12/2018,PW2000,670,1,LLP,716387,716451,ATL,LLP,5860,14369,,,,,
3,March,3/12/2018,V2500,9225,2,UER,V20049,V20072,MSP,Performance,7447,12246,,,,,
3,March,3/13/2018,PW2000,691,2,UER,726516,728854,ABQ,Bird Strike,2858,8125,,,,,
3,March,3/14/2018,BR715,9587,1,UER,13445,13172,ATL,Compressor Stall,2770,3675,,,,,
3,March,3/14/2018,V2500,9229,1,UER,V20038,V20184,ATL,Compressor Stall,7434,12351,,,,,
3,March,3/14/2018,CFM56-5A,3122,1,UER,733290,733325,DTW,Performance,8190,17192,,,,,
3,March,3/14/2018,Trent 890,7001,2,UER,51175,51201,HND,Internal Damage,1254,12559,#N/A,,,,
3,March,3/15/2018,V2500,9264,1,Harvest,V20188,,SBD,Harvest,880,1442,,,,,
3,March,3/15/2018,JT8D-219,990,2,UER,725731,718511,ORD,Vibration,2810,3815,,,,,
3,March,3/15/2018,JT8D-219,948,2,LLP,725835,726824,CVG,LLP,4321,5793,,,,,
3,March,3/16/2018,GE90,7106,2,Planned,906585,906757,ATL,FMP,4012,44639,,,,,
3,March,3/18/2018,V2500,9242,2,UER,V20137,V20251,MSP,External Engine,9293,15773,,,,,
3,March,3/18/2018,CFM56-5A,3226,2,UER,731729,733343,ATL,Performance,7800,15823,,,,,
3,March,3/18/2018,CFM56-5A,3259,2,Stagger,733299,731728,DTW,Stagger,1124,2310,,,,,
3,March,3/19/2018,BR715,9547,2,Stagger,13344,13362,ATL,Stagger T1 Blades,7481,9434,,,,,
3,March,3/19/2018,JT8D-219,9001,1,UER,728064,725813,ATL,Oil Leak,2660,3416,,,,,
3,March,3/20/2018,BR715,9556,2,UER,13309,13344,ATL,Overtemp,7402,9499,,,,,
3,March,3/20/2018,JT8D-219,967,1,UER,717352,718565,ATL,External Engine,3167,4074,,,,,
3,March,3/21/2018,V2500,9264,2,Harvest,V20128,,SBD,Harvest,6749,11209,,,,,
3,March,3/22/2018,CF6-80C2B8F,1821,1,UER,706224,706287,ATL,CRF Rework,1824,14153,,,,,
3,March,3/22/2018,CF6-80C2B6F,1612,2,UER,704808,704884,SEA,CRF Rework,1458,12089,,,,,
3,March,3/22/2018,CFM56-5A,3272,1,UER,731627,733271,ATL,Failed BSI,4893,10399,,,,,
