MM,Mon,Date,Engine Type,Ship,Pos,Type of Removal,RMV ESN,INST ESN,Stat,Reason,CSR,TSR,P/F,Override,Root Cause,,
1,January,1/27/2017,V2500,9255,1,UER,20253,20250,DEN,Compressor Stall,7151,11905,,,,,
1,January,1/27/2017,CF6-80C2B6,1503,1,UER,695689,695373,LAX,CRF Inspection,668,4275,,,,,
1,January,1/28/2017,PW2000,6809,2,LLP,727223,728766,LAX,LLP,4988,11955,,,,,
1,January,1/29/2017,PW2000,633,1,LLP,716598,717972,ATL,LLP,1559,3445,,,,,
1,January,1/29/2017,PW4060,197,1,LLP,727739,727744,LAX,LLP,1843,12745,,,,,
1,January,1/30/2017,JT8D-219,991,1,LLP,728015,728018,CVG,LLP,4829,7013,,,,,
1,January,1/30/2017,CFM56-5A,3118,2,Stagger,731476,731476,MSP,For other maintenance,4665,8590,,,,,
1,January,1/31/2017,BR715,9587,2,UER,13199,13323,ATL,Turbine Blades,1574,2036,,,,,
1,January,1/31/2017,BR715,9594,1,Stagger,13350,,ATL,Stagger,4198,5459,,,,,
1,January,1/31/2017,PW4056,6305,3,Harvest,717669,,MZJ,Harvest,467,4045,,,,,
1,January,1/31/2017,PW4056,6305,1,Harvest,717678,,MZJ,Harvest,1952,16545,,,,,
1,January,1/31/2017,PW4056,6305,4,Harvest,729066,,MZJ,Harvest,1331,11483,,,,,
1,January,1/31/2017,PW4056,6305,2,Harvest,729236,,MZJ,Harvest,1260,10841,,,,,
2,February,2/1/2017,CFM56-5A,3251,2,UER,731431,731394,MSP,HPTB,2209,14149,,,,,
2,February,2/2/2017,CF6-80C2B6F,1613,2,UER,704889,706248,ATL,CRF Rework,987,7970,,,,,
2,February,2/2/2017,GE90,7110,,UER,906594,,,FMP,3190,34900,,,,,
2,February,2/2/2017,JT8D-219,904,2,Harvest,728188,728188,CVG,For other maintenance,2121,2967,,,,,
2,February,2/5/2017,CF6-80C2B8F,1808,2,UER,706232,706247,ATL,Oil Consumption,645,4997,,,,,
2,February,2/6/2017,BR715,9549,2,LLP,13391,13325,ATL,LLP,2833,3821,,,,,
2,February,2/6/2017,CFM56-5A,3231,1,UER,733362,731726,DTW,Low Air,4936,10019,,,,,
2,February,2/7/2017,CF6-80C2B8F,1816,2,UER,706446,706192,ATL,Metal in the Oil,1617,12995,,,,,
2,February,2/7/2017,BR715,9512,1,UER,13180,13350,ATL,Turbine Blades,5440,6744,,,,,
2,February,2/7/2017,PW2000,688,2,UER,728778,726606,ATL,External Engine,7007,19135,,,,,
2,February,2/8/2017,JT8D-219,9000,1,UER,726979,717866,ATL,Oil Consumption,4036,5527,,,,,
2,February,2/8/2017,PW2000,5803,1,Stagger,728814,727274,ATL,Stagger,3103,9255,,,,,
2,February,2/8/2017,CFM56-5A,3160,1,LLP,733346,733368,SLC,LLP,4473,8480,,,,,
2,February,2/9/2017,V2500,9249,2,UER,20119,20265,ATL,Compressor Stall,5910,9566,,,,,
2,February,2/9/2017,CFM56-5A,3268,1,LLP,733304,731774,MSP,LLP,3571,7580,,,,,
2,February,2/10/2017,V2500,9234,1,UER,20050,20245,MSP,Compressor Stall,4338,6978,,,,,
2,February,2/11/2017,PW4056,6307,3,Stagger,727946,717667,DTW,Stagger,2723,23058,,,,,
2,February,2/13/2017,BR715,9571,1,UER,13419,13313,ATL,Turbine Blades,308,385,LOW TIME,,,,
2,February,2/13/2017,PW2000,660,1,Stagger,716571,726665,MZJ,Stagger,4595,11123,,,,,
2,February,2/13/2017,CFM56-5A,3153,2,UER,733350,731428,MSP,External Engine,12401,23994,,,,,
2,February,2/14/2017,CFM56-5A,3149,2,UER,733345,733280,SLC,Failed BSI,4504,8543,,,,,
2,February,2/18/2017,BR715,9561,1,UER,13398,13419,DTW,External Engine,3851,5029,,,,,
2,February,2/18/2017,PW2000,667,2,UER,727147,716600,ATL,Lease Return,1244,2461,,,,,
2,February,2/18/2017,CFM56-7B,3770,1,UER,888520,876610,ATL,External Engine,1070,3254,#N/A,,,,
2,February,2/19/2017,JT8D-219,959,1,UER,709937,726847,CVG,FOD,891,1174,,,,,
2,February,2/19/2017,BR715,9534,1,Stagger,13150,,ILN,Stagger,1714,2292,,,,,
2,February,2/19/2017,BR715,9534,2,Stagger,13334,,ILN,Stagger,3585,4774,,,,,
2,February,2/19/2017,PW4168,3319,2,Harvest,733560,,ATL,For other maintenance,2023,16189,,,,,
2,February,2/19/2017,PW4168,3320,2,UER,733629,733616,MSP,FMP,3125,24609,,,,,
2,February,2/20/2017,PW2000,690,1,LLP,716558,716471,DTW,LLP,6015,14898,,,,,
2,February,2/21/2017,BR715,9532,2,UER,13399,13417,ATL,Turbine Blades,4571,5669,,,,,
2,February,2/22/2017,JT8D-219,9015,1,LLP,725718,718148,CVG,LLP,4289,5968,,,,,
2,February,2/23/2017,JT8D-219,9010,1,LLP,728004,718514,CVG,LLP,3620,2585,,,,,
2,February,2/24/2017,PW2000,689,1,UER,716502,726649,VQQ,Slow to Accel,2276,5798,,,,,
2,February,2/25/2017,JT8D-219,963,1,UER,718087,717835,ATL,Oil Leak,2902,3875,,,,,
2,February,2/25/2017,CFM56-7B,3819,2,UER,658772,,ATL,Fan disk inspection,3831,10396,#N/A,,,,
2,February,2/26/2017,BR715,9576,2,UER,13190,13177,DTW,External Engine,3106,4032,,,,,
2,February,2/26/2017,PW2000,6712,2,LLP,716385,716444,DTW,LLP,6141,16037,,,,,
2,February,2/26/2017,V2500,9245,2,UER,20158,20242,ATL,Performance,6376,10204,,,,,
2,February,2/26/2017,PW2000,5809,2,LLP,728781,727215,ATL,LLP,4261,12314,,,,,
2,February,2/26/2017,CFM56-7B,3819,1,UER,658738,,ATL,Fan disk inspection,3831,10396,#N/A,,,,
2,February,2/28/2017,CFM56-5A,3130,1,LLP,733163,733205,SLC,LLP,7727,3301,,,,,
3,March,3/1/2017,BR715,9511,2,UER,13198,13263,ATL,Turbine Blades,3974,5020,,,,,
3,March,3/2/2017,CFM56-5A,3137,1,LLP,733169,731530,MSP,LLP,4982,9163,,,,,
3,March,3/4/2017,CF6-80C2B6F,1604,2,UER,704849,702335,ATL,CRF Rework,2712,21676,,,,,
3,March,3/4/2017,JT8D-219,953,2,LLP,718543,718120,CVG,LLP,1430,1934,,,,,
3,March,3/5/2017,BR715,9564,1,UER,13151,13150,ATL,Turbine Blades,5996,7480,,,,,
3,March,3/6/2017,BR715,9533,1,Stagger,13352,,ILN,Stagger,3335,4445,,,,,
3,March,3/7/2017,CFM56-5A,3230,1,LLP,733173,733370,MSP,LLP,5697,11705,,,,,
3,March,3/7/2017,CFM56-7B,3729,1,LLP,890155,888194,ATL,LLP,7770,21374,,,,,
3,March,3/10/2017,BR715,9531,1,UER,13353,13104,ATL,Engine Fuel,1263,1640,,,,,
3,March,3/10/2017,BR715,9533,2,Stagger,13352,,ILN,Stagger,3335,4445,,,,,
3,March,3/10/2017,BR715,9588,1,UER,13212,13240,ATL,Turbine Blades,1972,2615,,,,,
3,March,3/10/2017,V2500,9257,2,UER,20035,20161,ORD,Bird Strike,1258,2122,,,,,
3,March,3/10/2017,V2500,9212,1,UER,20106,20252,TYS,Compressor Stall,6583,11061,,,,,
3,March,3/10/2017,JT8D-219,983,2,UER,725865,726007,MSP,Overboost,1890,2658,,,,,
3,March,3/11/2017,BR715,9531,1,UER,13104,13202,ATL,VSV Failure/Rig,0,0,LOW TIME,,,,
3,March,3/11/2017,V2500,9201,2,Stagger,20060,,MSP,Stagger,7625,12767,,,,,
3,March,3/12/2017,CF6-80C2B8F,1820,2,UER,706174,706446,ATL,High Time,1285,10184,,,,,
3,March,3/12/2017,V2500,9238,2,UER,20259,20060,MSP,IN FLIGHT SHUTDOWN,6386,10768,,,,,
3,March,3/12/2017,V2500,9201,1,Stagger,20271,,MSP,Stagger,566,994,,,,,
3,March,3/12/2017,PW2000,6802,1,UER,728770,727285,LAX,Failed BSI,3553,17795,,,,,
3,March,3/14/2017,CF6-80C2B6F,1521,1,UER,704739,704747,LAX,CRF Rework,2913,21429,,,,,
3,March,3/14/2017,BR715,9558,1,LLP,13351,13398,ATL,LLP,4155,5386,,,,,
3,March,3/14/2017,PW2000,5805,1,UER,727178,727188,MSP,Failed BSI,3282,9718,,,,,
3,March,3/15/2017,CF6-80C2B6F,1701,2,UER,706137,704999,ATL,CRF Rework,1596,12795,,,,,
3,March,3/15/2017,JT8D-219,921,2,UER,709714,725727,CVG,FOD,1495,2013,,,,,
3,March,3/17/2017,JT8D-219,921,1,UER,709968,718052,ATL,FOD,1496,2015,,,,,
3,March,3/17/2017,PW4056,6309,4,Stagger,727942,727925,DTW,Stagger,967,8797,,,,,
3,March,3/18/2017,BR715,9569,2,UER,13252,13190,ATL,Turbine Blades,4061,5126,,,,,
3,March,3/19/2017,CF6-80C2B8F,1816,1,UER,706288,706385,ATL,Oil Leak,593,4673,,,,,
3,March,3/20/2017,JT8D-219,985,1,UER,725978,725537,ATL,Failed BSI,1374,1952,,,,,
3,March,3/20/2017,PW4060,182,2,LLP,727940,727745,ATL,LLP,942,7603,,,,,
3,March,3/21/2017,JT8D-219,958,2,UER,718437,708176,MSP,Oil Leak,6306,9055,,,,,
3,March,3/21/2017,V2500,9223,2,Stagger,20136,,QRO,Stagger,2460,4166,,,,,
3,March,3/21/2017,V2500,9223,1,Stagger,20152,,QRO,Stagger,5039,8294,,,,,
3,March,3/22/2017,PW2000,5813,2,UER,728760,728733,MSP,Failed BSI,3191,9121,,,,,
3,March,3/22/2017,CFM56-5A,3227,1,LLP,733116,,SLC,LLP,1778,3629,,,,,
3,March,3/22/2017,BR715,9580,1,UER,13262,13122,ATl,Turbine Blades,4768,6159,,,,,
3,March,3/22/2017,PW2000,5809,1,Stagger,728739,728763,MSP,Stagger,3166,9390,,,,,
3,March,3/22/2017,CFM56-5A,3221,2,UER,733296,,MSP,External Engine,6488,13000,,,,,
3,March,3/23/2017,JT8D-219,951,2,LLP,726069,725373,CVG,LLP,5522,7791,,,,,
3,March,3/23/2017,PW4060,187,2,LLP,727678,724687,LAX,LLP,2330,12814,,,,,
3,March,3/23/2017,PW2000,5809,1,UER,728763,,MSP,Smoke in Cabin,2,1,LOW TIME,,,,
3,March,3/26/2017,V2500,9214,2,UER,20079,,MSP,External Engine,4038,6666,,,,,
3,March,3/29/2017,JT8D-219,999,1,UER,718226,725396,ATL,Vibration,4268,6128,,,,,
3,March,3/29/2017,CFM56-5A,3134,2,LLP,731201,733146,MSP,LLP,7480,15534,,,,,
3,March,3/30/2017,PW4060,1201,2,Stagger,717637,717637,CAN,For other maintenance,1063,7621,,,,,
3,March,3/30/2017,PW4060,1201,1,Stagger,724639,724639,CAN,For other maintenance,2727,21280,,,,,
4,April,4/1/2017,CF6-80C2B8F,1801,1,Stagger,706151,706232,ATL,Stagger,2146,16720,,,,,
4,April,4/1/2017,V2500,9254,2,Scheduled,20032,20152,MSP,LLP,7421,13178,,,,,
4,April,4/2/2017,CF6-80C2B8F,1812,2,Stagger,706239,706151,ATL,Stagger,614,4677,,,,,
4,April,4/2/2017,V2500,9220,1,UER,20102,,MSP,Performance,3819,6244,,,,,
4,April,4/4/2017,BR715,9523,1,Stagger,13191,,ILN,Stagger,3526,4793,,,,,
4,April,4/4/2017,BR715,9529,1,UER,13197,13353,ATL,Turbine Blades,6275,7823,,,,,
4,April,4/4/2017,BR715,9523,2,Stagger,13422,,ILN,Stagger,3526,4793,,,,,
4,April,4/4/2017,JT8D-219,9011,2,UER,725535,717803,ATL,Vibration,265,369,LOW TIME,,,,
4,April,4/5/2017,PW4056,6310,3,Stagger,717518,717678,DTW,Lease Return,3625,30354,,,,,
4,April,4/5/2017,CFM56-7B,3820,2,UER,658792,,ATL,Internal Damage,3962,10559,#N/A,,,,
4,April,4/6/2017,JT8D-219,973,2,UER,725469,728082,ATL,Oil Leak,1231,1663,,,,,
4,April,4/7/2017,V2500,9225,2,UER,20045,,QRO,External Engine,557,1028,LOW TIME,,,,
4,April,4/7/2017,V2500,9225,1,Stagger,20203,,QRO,Stagger,8673,14999,,,,,
4,April,4/7/2017,PW4168,3355,1,Stagger,735015,733545,DTW,Stagger,481,4404,,,,,
4,April,4/8/2017,JT8D-219,960,1,LLP,718424,725436,CVG,LLP,813,1122,,,,,
4,April,4/9/2017,BR715,9505,2,UER,13364,13334,ATL,Turbine Blades,4102,5203,,,,,
4,April,4/9/2017,PW4056,6309,3,UER,727559,729066,DTW,Failed BSI,1096,9894,,,,,
4,April,4/10/2017,JT8D-219,942,2,LLP,725495,718092,CVG,LLP,2786,3882,,,,,
4,April,4/10/2017,CFM56-5A,3215,2,Harvest,731686,,SBD,Harvest,3424,6969,,,,,
4,April,4/10/2017,CFM56-5A,3230,2,UER,731987,731437,SLC,High EGT,3737,7308,,,,,
4,April,4/10/2017,CFM56-5A,3215,1,Harvest,733331,,SBD,Harvest,3406,6905,,,,,
4,April,4/11/2017,JT8D-219,947,2,UER,726933,718059,MSP,Oil Filter Clog,3661,5135,,,,,
4,April,4/12/2017,PW2000,6714,1,UER,716486,716320,ATL,Oil Leak,4681,13004,,,,,
4,April,4/12/2017,V2500,9245,1,UER,20077,20249,MSP,Failed BSI,7839,32988,,,,,
4,April,4/12/2017,CFM56-5A,3143,1,UER,733365,,DTW,High EGT,5689,11150,,,,,
4,April,4/13/2017,JT8D-219,981,1,UER,717867,709735,ATL,Oil Leak,1192,1591,,,,,
4,April,4/13/2017,GE90,7102,,UER,906629,,,Failed BSI,3538,39447,,,,,
4,April,4/14/2017,PW4056,6307,2,Stagger,717580,729236,DTW,Lease Return,3448,29117,,,,,
4,April,4/14/2017,PW4168,3351,2,UER,733548,,GRU,High EGT,883,9071,,,,,
4,April,4/15/2017,PW4056,6308,3,UER,717564,717669,DTW,Failed BSI,2741,23036,,,,,
4,April,4/16/2017,PW2000,5651,1,UER,728859,716549,MSP,Performance,6174,11289,,,,,
4,April,4/17/2017,BR715,9531,2,UER,13405,13128,ATL,Turbine Blades,4439,5719,,,,,
4,April,4/19/2017,BR715,9567,1,Stagger,13144,,ILN,Stagger,3587,4883,,,,,
4,April,4/19/2017,BR715,9567,2,Stagger,13199,,ILN,Stagger,162,221,,,,,
4,April,4/19/2017,BR715,9558,1,UER,13398,13354,ATL,External Engine,4043,5260,,,,,
4,April,4/19/2017,JT8D-219,912,1,LLP,726048,725490,CVG,LLP,3032,4028,,,,,
4,April,4/19/2017,PW2000,5638,2,LLP,728813,727233,LAX,LLP,5156,17351,,,,,
4,April,4/20/2017,PW4056,6313,1,Stagger,717662,,MZJ,Stagger,3307,27829,,,,,
4,April,4/20/2017,JT8D-219,986,1,UER,725390,,MSP,FOD,2055,2902,,,,,
4,April,4/20/2017,PW2000,673,2,UER,727190,716441,MSP,Failed BSI,746,1276,,,,,
4,April,4/20/2017,CF6-80A2,129,1,Harvest,580351,,SBD,Harvest,1985,6649,,,,,
4,April,4/20/2017,CF6-80A2,129,2,Harvest,580373,,SBD,Harvest,1893,6153,,,,,
4,April,4/21/2017,PW2000,5809,1,UER,728739,727229,ATL,Performance,3260,9660,,,,,
4,April,4/22/2017,V2500,9248,2,Stagger,20118,,VQQ,Stagger,4054,6823,,,,,
4,April,4/22/2017,JT8D-219,911,1,LLP,728010,725795,CVG,LLP,6305,8836,,,,,
4,April,4/23/2017,BR715,9516,1,LLP,13413,13326,ATL,LLP,5177,6669,,,,,
4,April,4/23/2017,JT8D-219,922,2,LLP,726924,725368,CVG,LLP,4744,6565,,,,,
4,April,4/23/2017,PW2000,6810,1,UER,727203,727228,LAX,Performance,4808,23964,,,,,
4,April,4/24/2017,JT8D-219,968,2,LLP,716752,718544,CVG,LLP,2095,2880,,,,,
4,April,4/25/2017,V2500,9238,2,UER,20060,20118,ATL,External Engine,7779,13077,,,,,
4,April,4/25/2017,V2500,9224,1,UER,20139,20003,ATL,Surging,8716,15044,,,,,
4,April,4/25/2017,JT8D-219,960,2,UER,725921,728234,ATL,Failed BSI,6101,8519,,,,,
4,April,4/25/2017,JT8D-219,962,1,UER,725945,709888,ATL,FOD,2740,3818,,,,,
4,April,4/26/2017,JT8D-219,998,2,UER,716765,717819,ATL,External Engine,526,761,,,,,
4,April,4/26/2017,PW2000,5648,1,LLP,727171,727298,LAX,LLP,4024,11944,,,,,
4,April,4/26/2017,CFM56-5A,3133,1,LLP,733148,733331,SLC,LLP,4024,11944,,,,,
4,April,4/27/2017,CFM56-7B,3763,2,Stagger,888452,876591,ATL,Stagger,4435,13155,,,,,
4,April,4/28/2017,BR715,9524,2,Stagger,13193,,ILN,Stagger,3526,4793,,,,,
4,April,4/28/2017,BR715,9524,1,Stagger,13335,,ILN,Stagger,3605,4774,,,,,
4,April,4/28/2017,PW4056,6313,3,Stagger,717567,,MZJ,Stagger,3573,30060,,,,,
4,April,4/29/2017,V2500,9222,2,Stagger,20023,,QRO,Stagger,8847,15279,,,,,
4,April,4/29/2017,V2500,9222,1,Stagger,20103,,QRO,Stagger,1258,2227,,,,,
4,April,4/30/2017,BR715,9573,1,UER,13170,13231,ATL,Oil Leak,712,975,LOW TIME,,,,
4,April,4/30/2017,V2500,9208,2,Scheduled,20053,20158,MSP,LLP,5550,9171,,,,,
4,April,4/30/2017,PW2000,692,2,UER,728848,716484,ATL,Failed BSI,1448,4228,,,,,
4,April,4/30/2017,CFM56-5A,3252,1,UER,731513,731527,MSP,Oil Leak,4441,9285,,,,,
5,May,5/1/2017,BR715,9535,1,UER,13362,13108,ATL,Turbine Blades,1602,2089,,,,,
5,May,5/1/2017,PW2000,623,2,Harvest,716371,,SBD,Harvest,2782,6625,,,,,
5,May,5/1/2017,PW2000,623,1,Harvest,728790,,SBD,Harvest,2807,6023,,,,,
5,May,5/1/2017,CFM56-5A,3232,2,LLP,733168,733299,MSP,LLP,5533,11077,,,,,
5,May,5/3/2017,PW2000,5657,1,UER,728845,716558,ATL,Failed BSI,5698,15713,,,,,
5,May,5/4/2017,PW4168,3355,2,UER,733605,733619,PEK,Compressor Stall,2060,18785,,,,,
5,May,5/5/2017,JT8D-219,906,1,UER,709829,717867,ATL,High oil temp,832,1129,,,,,
5,May,5/6/2017,CFM56-7B,3729,1,Stagger,888194,876117,ATL,Stagger,156,432,,,,,
5,May,5/7/2017,CF6-80C2B8F,1805,2,UER,706121,706233,ATL,CRF Rework,783,6188,,,,,
5,May,5/8/2017,JT8D-219,9007,2,UER,709827,725466,ATL,High oil temp,1150,1574,,,,,
5,May,5/8/2017,JT8D-219,937,1,UER,725484,726880,DTW,Oil consumption,1969,2696,,,,,
5,May,5/8/2017,JT8D-219,930,1,UER,725821,718565,CVG,Turbine Blades,3584,4901,,,,,
5,May,5/8/2017,CF6-80C2B8F,1813,2,UER,704929,706288,ATL,Oil Leak,979,7687,,,,,
5,May,5/8/2017,CFM56-5A,3127,1,LLP,731864,731686,MSP,LLP,8241,16389,,,,,
5,May,5/9/2017,V2500,9219,1,UER,V20014,V2218,TPA,Performance,1806,3163,,,,,
